동물명(추정),파일명,사용 상태,ARP 여부,리그 타입,ARP 마커,ARP 마커 수,동명 파일 수,폴더,경로,수정일,파일 크기
adelie,adelie_AllAni_241121_ex.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Winter/동물/3097_아델리 펭귄/adelie_AllAni_241121_ex.blend,2024-11-21,8.6 MB
axolotl,Axolotl_AllAni_260306.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l",10,2,2024,Asset/BlenderFile/2024/2024_Cherry Blossom/Axolotl/Axolotl_AllAni_260306.blend,2026-03-06,6.9 MB
baby_bear,Baby_Bear_animation.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,4,2024,Asset/BlenderFile/2024/2024_Christmas/동물/아기 북극곰/Baby_Bear_animation.blend,2024-12-06,38.6 MB
baby_polar,Baby_polar_animation_01.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2024,Asset/BlenderFile/2024/2024_Christmas/동물/아기 북극곰/Baby_polar_animation_01.blend,2024-12-10,39.7 MB
blu_eye_crane,blu_eye_Crane_08(정리).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Winter/동물/3095_푸른 눈 가마우지/blu_eye_Crane_08(정리).blend,2024-11-22,11.6 MB
blue_eyed_shag,blue eyed shag_AllAni_241122_ex.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Winter/동물/3095_푸른 눈 가마우지/blue eyed shag_AllAni_241122_ex.blend,2024-11-25,12.2 MB
box,Box_02.blend,사용중,O,ARP,"c_pos, c_traj, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_arm_fk.l",6,3,2024,Asset/BlenderFile/2024/2024_Christmas/UI/크리스 마스 UI/Box_02.blend,2024-12-09,2.2 MB
cockatoo,cockatoo_new_animation_0213(수정).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,2024,Asset/BlenderFile/2024/2024_autumn/3086_도가머리 딱따구리/BackUp/cockatoo_new_animation_0213(수정).blend,2024-07-30,6.7 MB
frog_christmas,frog_christmas_02.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,2024,Asset/BlenderFile/2024/2024_Christmas/동물/산타 개구리/frog_christmas_02.blend,2024-12-05,6.4 MB
guineapig,Guineapig_0911_01.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,3,2024,Asset/BlenderFile/2024/2024_3rd anniv-halloween/3주년/3089_기니피그/Guineapig_0911_01.blend,2024-09-23,8.3 MB
hawaiian_package01,Hawaiian_package01.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Summer/package/3d 리소스/Hawaiian_package01.blend,2024-05-02,12.4 MB
penguin_baby,Penguin_Baby_1120_02.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,6,2024,Asset/BlenderFile/2024/2024_Winter/동물/3061_아기펭귄(추가 애니메이션)/Penguin_Baby_1120_02.blend,2024-11-21,8.1 MB
pileated_woodpecker,pileated woodpecker_AllAni_240814.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,2024,Asset/BlenderFile/2024/2024_autumn/3086_도가머리 딱따구리/pileated woodpecker_AllAni_240814.blend,2024-08-20,13.0 MB
sea_otter,Sea_Otter_21(idle_D).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Summer/animal/sea otter/Sea_Otter_21(idle_D).blend,2024-06-04,9.9 MB
squirrel_gray,3085_Squirrel_gray_Animation(ex_1208).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_autumn/3085_회색 청설모/3085_Squirrel_gray_Animation(ex_1208).blend,2024-08-07,14.9 MB
squirrel_valentine,Squirrel_valentine.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Valentine/다람쥐/Squirrel_valentine.blend,2025-01-07,9.4 MB
아델리펭귄,아델리펭귄_07(ani).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Winter/동물/3097_아델리 펭귄/아델리펭귄_07(ani).blend,2024-11-20,8.8 MB
baby_wolf,Baby_Wolf_AllAni_250414.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,10,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_Baby_Red_Wolf/아기 붉은 늑대/Baby_Wolf_AllAni_250414.blend,2025-04-14,7.6 MB
blue_snake,blue_snake_ani_04.blend,사용중,O,ARP,"c_pos, c_traj, c_thigh_fk.l, c_leg_fk.l, c_arm_fk.l",5,1,2025,Asset/BlenderFile/2025/2025_blue snake/blue_snake_ani_04.blend,2025-01-16,4.5 MB
chimpanzee,chimpanzee_AllAni_250529_02.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_침팬지 패스/동물/3118_침팬지/chimpanzee_AllAni_250529_02.blend,2025-05-30,8.5 MB
chimpanzee_목걸이,chimpanzee_목걸이.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_침팬지 패스/목걸이/chimpanzee_목걸이.blend,2025-06-10,9.1 MB
dodo,Dodo_AllAni_250915.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/새로운 섬/도도새/Dodo_AllAni_250915.blend,2025-09-15,8.6 MB
flamingo_white,flamingo_white.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/2025_Cherry Blossom/동물/3108_하얀 플라밍고/flamingo_white.blend,2025-02-19,10.7 MB
laika,Laika_AllAni_250616.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_점박이 강아지/동물/3120_점박이 강아지_라이카/Laika_AllAni_250616.blend,2025-06-16,15.3 MB
lemming,Lemming_AllAni_251107.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/레밍/Lemming_AllAni_251107.blend,2025-11-07,7.2 MB
