id,animation_fbx_path,animation_fbx_guid,model_fbx_paths,controller_paths,prefab_count,clip_count,clip_names,locomotion,scope,source_blend_hint,status,notes
Lopear,Assets/5_Models/02. Animals/00.Rabbit/lopear_animation.fbx,be728792e9897304b9a0652ee890971a,Animal_2002.fbx;Animal_2011.fbx;Animal_3161.fbx;Rabbit_DutchBrown.fbx;rabbit_CherryBlossom.fbx;rabbit_animation.fbx,Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3024_LopearRabbit.controller,2,19,Rabbit_eat_end;eat_ground;JumpRun;Landmark_8_lookaround;Rabbit_dig;Rabbit_idle;Rabbit_jump;Rabbit_jump(remove_Y);Rabbit_landing;Rabbit_lookaround;Rabbit_run;Rabbit_run_down(Y_remove);Rabbit_run_jump(Y_remove);Rabbit_sleep;Rabbit_walk;Armature|Rabbit_wash;Rabbit_wash;Rabbit_eat_start;Rabbit_eat,quadruped,in_scope,,not_started,
Rabbit,Assets/5_Models/02. Animals/00.Rabbit/rabbit_animation.fbx,f01ef593d9cf73a4e94a2ab37b4745c1,Animal_2002.fbx;Animal_2011.fbx;Animal_3161.fbx;Rabbit_DutchBrown.fbx;lopear_animation.fbx;rabbit_CherryBlossom.fbx,Assets/6_Animations/Animals/Controllers/Event/AnimalController_3106_FluffyRabbit.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_0_Rabbit.controller;Assets/6_Animations/Animals/Controllers/LandMarkAnimal/LandMark_5-4/LandMark_5_4.controller;Assets/6_Animations/Animals/Controllers/PackageObject/AnimalController_3106_FluffyRabbit.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3012_WhiteEagleOwl.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3013_RedSquirrel.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3024_LopearRabbit.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3026_BrownBat.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3064_Squirrel.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3085_SilverSquirrel.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3086_WoodPecker.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3093_NineTailFox.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3094_ArcticHare.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3095_BlueEyedShag.controller;Assets/6_Animations/Animals/Controllers/SubIsle/AnimalController_5000_Crane.controller;Assets/6_Animations/Animals/Controllers/SubIsle/AnimalController_5001_Monkey.controller;Assets/6_Animations/Animals/Controllers/SubIsle/AnimalController_5002_Boar.controller;Assets/6_Animations/Animals/Controllers/SubIsle/AnimalController_5003_Panda.controller;Assets/6_Animations/Animals/Controllers/SubIsle/AnimalController_5004_Weasel.controller;Assets/6_Animations/Animals/Controllers/SubIsle/AnimalController_5005_Tiger.controller;Assets/6_Animations/Animals/Controllers/SubIsle/AnimalController_5006_BabyPanda.controller;Assets/6_Animations/Animals/Controllers/SubIsle/AnimalController_5007_BabyTiger.controller,3,26,Rabbit_dig;Armature|Rabbit_idle;Armature|Rabbit_jump;Armature|Rabbit_jump(remove_Y);Armature|Rabbit_landing;Armature|Rabbit_lookaround;Rabbit_runJump;Armature|Rabbit_walk;Armature|Rabbit_wash;Rabbit_idle;Rabbit_jump;Rabbit_jump(remove_Y);Rabbit_landing;Rabbit_lookaround;Rabbit_run;Rabbit_walk;Rabbit_wash;Rabbit_eat;Rabbit_eat_start;Rabbit_eat_end;Rabbit_sleep;Rabbit_run_down(Y_remove);Rabbit_run_jump(Y_remove);Landmark_8_down;Landmark_8_lookaround;Landmark_8_up,quadruped,in_scope,,not_started,
Fox,Assets/5_Models/02. Animals/01.Fox/fox_animation.fbx,302706fc101f36748816fc99e68b6907,Animal_2003.fbx;Animal_2012.fbx,Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_10_Raccoon.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_11_Eagle.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_1_Fox.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_8_Llama.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_9_Sheep.controller;Assets/6_Animations/Animals/Controllers/Winter/ArcticFox_Controller.controller,4,29,Fox_eat;Armature|idle;Armature|look;Armature|run;Armature|sit;Armature|sleep;Armature|walk;Fox_idle;Fox_look;Fox_run;Fox_sit;Fox_sleep;Fox_walk;Fox_eat_start;Fox_eat_end;Fox_jump(Y_remove);Fox_landing;Fox_jump;Fox_runjump;Armature|jump(Y_remove);Armature|jump(Y_remove) (1);Fox_climb;Fox_climb(Y_remove);Fox_eat;Fox_run_jump(Y_remove);Armature|run_down(Y_remove);Fox_run_down(Y_remove);Fox_trot;Fox_jump_Butterfly,quadruped,in_scope,,not_started,
Duck,Assets/5_Models/02. Animals/02.Duck/duck_animation.fbx,6fa33b3ad4ccdee4abfd27f78301450a,Animal_2013.fbx;Animal_3082.fbx;Animal_3088.fbx;duck_PinkHeaded.fbx,Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3200_Wombat.controller;Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3201_Kangaroo.controller;Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3202_Baby_Kangaroo.controller;Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3204_Tasmanian_Tiger.controller;Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3206_Quokka.controller;Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3208_Emu.controller;Assets/6_Animations/Animals/Controllers/Event/AnimalController_3123_AmericanDuck.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_12_Gorilla.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_2_Duck.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_3_Bear.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_4_Deer.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_4_Deer_Rare.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_5_Wolf.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_6_Turtle.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_7_Seal.controller;Assets/6_Animations/Animals/Controllers/PackageObject/AnimalController_GroundFrog.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyTurtleController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/CapybaraController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/DodoController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/EarlessSealController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/MoleController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/RudolphBabyController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/RudolphController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/SwanController.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3027_Hedgehog.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3028_BlackCat.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3029_WhiteCat.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3042_LeatherbackTurtle.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3051_Chinchilla.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3056_Penguin.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3057_Moose.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3058_Husky.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3059_Lynx.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3060_SnowLeopard.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3061_BabyPenguin.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3077_PineAppleHedgehog.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3078_LandTurtle.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3079_SeaOtter.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3089_GuineaPig.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3096_Skua.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3097_AdeliePenguin.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3099_Manul.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3105_BlueSnake.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3110_BabyCat.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3116_GoldenRetriever.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3117_MarginatedTortoise.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3118_Chimpanzee.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3120_SpottedDog.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3127_Pika.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3132_Gazelle.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3135_Lemming.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3136_RedHorse.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_NineTail.controller;Assets/6_Animations/Animals/Controllers/Seasonal/Spring/AnimalController_3073_Axolotl.controller;Assets/6_Animations/Animals/Controllers/SubIsle/AnimalController_5011_MandarinDuck.controller;Assets/6_Animations/Animals/Controllers/Winter/Harp_SealController.controller;Assets/6_Animations/Animals/Controllers/Winter/PolarBear_Controller.controller;Assets/6_Animations/Animals/Controllers/Winter/WhiteEagleOwl_Controller.controller,4,21,Duck_eat;Duck_hunt;Duck_idle;Armature|idle.001;Duck_idle_swim;Duck_sleep;Duck_swim;Duck_walk;Duck_wash;Duck_eat_start;Duck_eat_end;Duck_Swim(Leg_only);Duck_swim(Leg_only);Duck_wash_swim;Duck_run;Duck_run_wing;Duck_jump;Duck_jump(Y_remove);Duck_flapping;Duck_flapping_water;Duck_peck_water,biped_bird,out_of_scope,,not_started,
Bear,Assets/5_Models/02. Animals/03.Bear/bear_animation.fbx,4f52d6c130523574c9de78556fa6c6c8,Animal_2004.fbx,Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_12_Gorilla.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_3_Bear.controller;Assets/6_Animations/Animals/Controllers/PackageObject/SwanController.controller;Assets/6_Animations/Animals/Controllers/Winter/PolarBear_Controller.controller,3,25,Bear_eat;Armature|idle;Armature|sit;Armature|sleep;Armature|stand;Armature|walk;Bear_idle;Bear_sit;Bear_sleep;Bear_stand;Bear_walk;Armature|eat;Bear_eat_end;Bear_eat_start;Armature|run;Armature|run_down(Y_remove);Bear_run_jump(Y_remove);Bear_run;Bear_run_down(Y_remove);Bear_eat_sit;Armature|eat_sit;Bear_scratch;Bear_scratch;Bear_trot;Bear_eat_sit,quadruped,in_scope,,not_started,
Deer,Assets/5_Models/02. Animals/04.Deer/deer_animation.fbx,262650843448e1f4bb92103ffd8f9013,Animal_2014.fbx;Animal_2015.fbx;Animal_3067.fbx;stag_animation.fbx,Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_4_Deer.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_4_Deer_Rare.controller,1,33,Duck_eat;Armature|idle;Armature|jump;Armature|look;Duck_shake;Armature|walk;Duck_idle;Duck_jump;Duck_look;Armature|shake;Duck_walk;Dear_eat;Dear_idle;Dear_jump;Dear_look;Dear_shake;Dear_walk;Dear_eat_start;Dear_eat_end;eat_all;Armature|eat-end;Deer_sleep;Dear_sleep;Dear_jump(Y_remove);Dear_landing;Deer_run_down(Y_remove);Deer_run_jump(Y_remove);Deer_run;Armature|run_down;Dear_drink;Deer_trot;Armature|trot;Deer_sit,quadruped,in_scope,,not_started,
Stag,Assets/5_Models/02. Animals/04.Deer/stag_animation.fbx,65ff24b452b588c4185fb523515ea1c1,Animal_2014.fbx;Animal_2015.fbx;Animal_3067.fbx;deer_animation.fbx,Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_4_Deer_Rare.controller;Assets/6_Animations/Animals/Controllers/PackageObject/RudolphController.controller,2,24,Armature|idle;Armature|jump;Stage_look;Stage_shake;Armature|sit;Stage_idle;eat_all;Stage_jump;Stage_sit;Stage_walk;Stage_jump(Y_remove);Stage_landing;Stage_run_down;Stage_run_jump;Stage_run;Stage_drink;Stage_trot;Dear_eat_end;Dear_eat_start;Stage_eat;Stage_eat_end;Stage_eat_start;Stage_sleep;Armature|Package_pose,quadruped,in_scope,,not_started,
Wolf,Assets/5_Models/02. Animals/05.Wolf/wolf_animation.fbx,572db9cd240426f409c8aa4d97e6600e,Animal_2016.fbx,Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_5_Wolf.controller,3,21,Wolf_eat;Wolf_howling;Wolf_idle;Wolf_lie;Armature|sit;Armature|sleep;Armature|walk;Wolf_sit;Wolf_sleep;Wolf_walk;Wolf_eat_start;Wolf_eat_end;Wolf_Jump;Wolf_jump(Y_remove);Wolf_landing;Wolf_jump;Wolf_run_jump(Y_remove);Wolf_run_down(Y_remove);Wolf_run;Wolf_drink;Wolf_trot,quadruped,in_scope,,not_started,
Turtle,Assets/5_Models/02. Animals/06.Turtle/turtle_animation.fbx,ba3823458af841b4d9fa739363172771,Animal_3075.fbx;turtle_chocolate.fbx,Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_6_Turtle.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyTurtleController.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3042_LeatherbackTurtle.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3078_LandTurtle.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3117_MarginatedTortoise.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3118_Chimpanzee.controller,2,16,Turtle_eat_start;Armature|idle;Armature|sleep;Armature|swim;Armature|walk;Turtle_eat;Turtle_idle;Turtle_sleep;Turtle_swim;Turtle_walk;Turtle_eat_end;Turtle_run;Turtle_headbutting;Turtie_look;Turtle_landing;Turtle_landing_to_idle,quadruped,in_scope,,not_started,
FurSeal,Assets/5_Models/02. Animals/07.Seal/furseal_Animation.fbx,b2b30c39eefeb8840bd2d3404f5e0e0d,,Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3200_Wombat.controller;Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3206_Quokka.controller;Assets/6_Animations/Animals/Controllers/2026_Australia/AnimalController_3208_Emu.controller;Assets/6_Animations/Animals/Controllers/Landmark/AnimalController_7_Seal.controller;Assets/6_Animations/Animals/Controllers/PackageObject/CapybaraController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/DodoController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/EarlessSealController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/MoleController.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3027_Hedgehog.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3028_BlackCat.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3029_WhiteCat.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3051_Chinchilla.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3056_Penguin.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3057_Moose.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3058_Husky.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3059_Lynx.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3060_SnowLeopard.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3061_BabyPenguin.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3077_PineAppleHedgehog.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3079_SeaOtter.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3089_GuineaPig.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3096_Skua.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3097_AdeliePenguin.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3099_Manul.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3105_BlueSnake.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3110_BabyCat.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3116_GoldenRetriever.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3120_SpottedDog.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3127_Pika.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3135_Lemming.controller;Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_NineTail.controller;Assets/6_Animations/Animals/Controllers/Seasonal/Spring/AnimalController_3073_Axolotl.controller;Assets/6_Animations/Animals/Controllers/Winter/Harp_SealController.controller;Assets/6_Animations/Animals/Controllers/Winter/WhiteEagleOwl_Controller.controller,3,14,ball;Armature|bark;idle;roll;run;sleep;sleep_side;sliding;sliding_idle;swim;walk;water_idle;bark;swim,aquatic,out_of_scope,,not_started,
